#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.00562341  16754.8  0.30907  0.214419  -0.331277  -0.420621  0.40372  0.28396  0.243394  0.661841  1.2836  0.822906  0.144878  6.03404  -0.417734  0.663284  0.0700374  2.12834  -3.46741  -6.99649  -23.8103  0.0583054  -10.523  -23.4679  -0.499876  -0.664528  -382.526  -202.919  -281.206  -7.98242  -5.07822  6.97285  3.74262  -2760.43  -1819.68  92.4532  -16.2002  0.00311547
0.00582103  17137.2  0.352947  0.245098  -0.377471  -0.478987  0.460796  0.321822  0.268532  0.755204  1.46571  0.942031  0.168375  6.78304  -0.486935  0.751231  0.0830571  2.49072  -3.4818  -6.99668  -23.7359  0.040128  -10.5133  -23.5025  -0.505879  -0.714724  -362.764  -196.296  -269.839  -8.50501  -5.40147  7.48386  3.96577  -2773.49  -1826.98  95.7252  -16.8809  0.00333981
0.0060256  17520.5  0.402939  0.280105  -0.42992  -0.545244  0.525774  0.364624  0.295815  0.861472  1.67318  1.07816  0.195587  7.62021  -0.567291  0.850449  0.0984265  2.91331  -3.47423  -6.98702  -23.6961  0.0357424  -10.4967  -23.4866  -0.508537  -0.768944  -343.914  -190.211  -259.201  -9.05863  -5.74327  8.03259  4.19941  -2785.93  -1833.78  99.1284  -17.5789  0.00357962
0.00623735  17905.5  0.459876  0.320038  -0.489434  -0.620421  0.599714  0.412994  0.325345  0.982376  1.90942  1.23367  0.227082  8.55518  -0.660541  0.962316  0.116555  3.4058  -3.47269  -6.97686  -23.655  0.0329629  -10.4803  -23.4616  -0.507158  -0.827539  -325.97  -184.666  -249.295  -9.64473  -6.10448  8.62187  4.4437  -2797.75  -1840.07  102.627  -18.3217  0.00383592
0.00645654  18290.6  0.524694  0.365573  -0.556923  -0.705671  0.683815  0.467636  0.357218  1.11987  2.17834  1.41126  0.263511  9.59848  -0.768678  1.08837  0.137919  3.97939  -3.47099  -6.96777  -23.6044  0.0259658  -10.4637  -23.4418  -0.500954  -0.890892  -308.901  -179.654  -240.107  -10.2648  -6.48595  9.2547  4.69874  -2808.98  -1845.87  106.239  -19.1028  0.00410979
0.00668344  18675.8  0.598453  0.417479  -0.633406  -0.802291  0.779426  0.52934  0.391513  1.27616  2.4843  1.61399  0.305619  10.7617  -0.893991  1.23031  0.163075  4.64698  -3.47187  -6.95973  -23.5474  0.0169664  -10.4477  -23.4373  -0.489026  -0.959424  -292.673  -175.168  -231.624  -10.9202  -6.8886  9.93434  4.96457  -2819.64  -1851.18  109.982  -19.9137  0.00440237
0.00691831  19060  0.682346  0.476625  -0.720025  -0.911732  0.888068  0.598993  0.42829  1.45372  2.83224  1.84531  0.354256  12.0573  -1.0391  1.39004  0.192668  5.42342  -3.47412  -6.95387  -23.4841  0.00421171  -10.4327  -23.4585  -0.470354  -1.03359  -277.265  -171.206  -223.841  -11.6124  -7.31331  10.6643  5.24119  -2829.74  -1856  113.845  -20.7675  0.00471489
0.00716143  19442.9  0.777721  0.543992  -0.818053  -1.03562  1.01145  0.677588  0.467586  1.65536  3.22775  2.10917  0.410396  13.4992  -1.20702  1.56966  0.227447  6.32582  -3.47744  -6.94643  -23.4206  -0.00785736  -10.4159  -23.4652  -0.443779  -1.11391  -262.651  -167.763  -216.748  -12.3429  -7.76101  11.4483  5.52851  -2839.3  -1860.34  117.835  -21.6641  0.00504863
0.0074131  19824  0.886095  0.620692  -0.928913  -1.17577  1.1515  0.766236  0.509405  1.8842  3.67708  2.40999  0.475148  15.1023  -1.40117  1.7715  0.268282  7.37384  -3.47624  -6.93668  -23.361  -0.0153261  -10.3975  -23.4523  -0.407992  -1.20091  -248.802  -164.835  -210.336  -13.1131  -8.23263  12.2904  5.82635  -2848.33  -1864.2  121.96  -22.6033  0.00540496
0.00767361  20201  1.00918  0.707978  -1.05419  -1.33422  1.31037  0.866182  0.553712  2.14378  4.1873  2.75281  0.549775  16.883  -1.62548  1.99815  0.316178  8.59006  -3.47413  -6.92591  -23.2998  -0.022184  -10.3775  -23.4316  -0.361516  -1.2952  -235.696  -162.419  -204.6  -13.9242  -8.72911  13.1948  6.13447  -2856.85  -1867.59  126.22  -23.5906  0.00578532
